precinct,murder,rape,robbery,felony_assault,burglary,grand_larceny,grand_larceny_of_motor_vehicle,total_felonies,population,per1000
1,9,18,69,91,65,1068,17,1337,66679,20.05
5,0,7,89,151,86,545,11,889,59125,15.04
6,0,9,139,131,131,998,24,1432,61842,23.16
7,0,9,134,178,65,461,18,865,49796,17.37
9,3,16,120,148,131,841,41,1300,76827,16.92
10,0,18,90,105,80,653,35,981,49279,19.91
13,3,18,96,149,144,1254,30,1694,89370,18.95
14,3,21,177,233,226,1962,23,2645,21449,123.32
17,2,6,72,83,83,755,22,1023,73334,13.95
18,1,26,135,166,203,1838,42,2411,67784,35.57
19,0,16,125,126,203,1444,58,1972,208259,9.47
20,2,8,71,60,78,712,21,952,99071,9.61
22,1,5,17,5,1,36,1,66,25,2640
23,3,14,142,321,95,315,19,909,65378,13.9
24,2,14,140,128,149,617,41,1091,106460,10.25
25,2,25,170,326,93,465,30,1111,55133,20.15
26,1,11,96,87,56,329,16,596,50371,11.83
28,4,8,202,203,91,440,18,966,43383,22.27
30,1,9,153,135,85,291,22,696,59822,11.63
32,4,17,199,335,97,267,31,950,72340,13.13
33,2,9,107,189,77,262,35,681,77417,8.8
34,3,14,201,290,172,631,71,1382,112603,12.27
40,6,44,479,804,236,802,105,2476,91627,27.02
41,3,20,132,270,131,288,64,908,53400,17
42,8,31,244,437,187,410,95,1412,79113,17.85
43,10,33,393,587,185,680,172,2060,173223,11.89
44,9,32,377,583,221,774,116,2112,144818,14.58
45,2,10,144,196,135,503,112,1102,110345,9.99
46,10,39,402,587,191,509,81,1819,132337,13.75
47,8,48,440,671,317,717,247,2448,156278,15.66
48,8,26,284,442,183,487,76,1506,80424,18.73
49,3,13,221,253,180,493,98,1261,118886,10.61
50,3,8,102,140,118,522,78,971,105004,9.25
52,2,27,332,519,170,640,104,1794,127574,14.06
60,8,16,142,235,61,382,49,893,108577,8.22
61,2,11,152,193,222,592,96,1268,153872,8.24
62,1,14,166,182,200,489,77,1129,181636,6.22
63,3,12,117,148,103,529,66,978,108753,8.99
66,0,11,103,152,159,406,81,912,207135,4.4
67,17,39,334,609,225,654,129,2007,157613,12.73
68,3,13,81,114,123,424,94,852,123058,6.92
69,7,17,139,221,89,306,75,854,85610,9.98
70,6,24,221,257,180,521,79,1288,157090,8.2
71,3,22,228,303,132,505,77,1270,103151,12.31
72,2,21,170,225,144,420,108,1090,120477,9.05
73,9,32,354,578,202,351,84,1610,86584,18.59
75,11,65,664,825,396,1051,219,3231,180389,17.91
76,2,6,48,88,74,237,21,476,46385,10.26
77,6,24,209,296,181,373,64,1153,82213,14.02
78,0,9,83,93,131,471,72,859,65742,13.07
79,5,28,278,325,289,521,84,1530,77721,19.69
81,8,22,214,282,178,396,55,1155,73859,15.64
83,4,28,277,301,334,466,110,1520,114212,13.31
84,4,7,127,146,117,649,29,1079,45843,23.54
88,1,9,101,148,144,328,42,773,50420,15.33
90,7,20,197,258,271,695,124,1572,116734,13.47
94,2,11,85,87,134,416,66,801,56349,14.21
100,1,9,52,143,73,157,21,456,47913,9.52
101,3,25,127,297,95,253,27,827,67065,12.33
102,6,19,141,176,154,306,124,926,143047,6.47
103,6,30,355,386,165,511,80,1533,104368,14.69
104,2,16,144,187,263,523,152,1287,170331,7.56
105,6,21,214,392,302,609,161,1705,187013,9.12
106,6,11,214,233,205,489,113,1271,123402,10.3
107,0,22,170,138,186,515,83,1114,154017,7.23
108,0,11,100,155,146,502,89,1003,118032,8.5
109,1,22,195,252,276,893,138,1777,248328,7.16
110,5,25,307,259,194,531,86,1407,156195,9.01
111,1,3,39,58,167,416,59,743,116852,6.36
112,0,7,40,55,91,386,43,622,111988,5.55
113,9,25,190,386,128,411,131,1280,118826,10.77
114,3,29,211,347,215,683,105,1593,202758,7.86
115,1,32,344,356,254,675,156,1818,183339,9.92
120,5,32,139,312,154,331,88,1061,113319,9.36
121,5,11,111,190,112,355,76,860,120145,7.16
122,3,6,62,100,103,269,47,590,138077,4.27
123,0,3,13,45,46,143,22,272,97189,2.8
